uid,client_name,client_ip,sender_ip,client_timestamp,client_lat,client_long,event_type
55192,pidrive,192.168.1.65,,1402842314,1000,,7
55202,pidrive,,,1402842319,40.637554,-89.477079,0
55193,pidrive,192.168.1.65,,1402842320,40.637555,-89.477067,4
55203,pidrive,0.0.0.0,192.168.1.23,1402842320,40.637555,-89.477067,1
55204,pidrive,,,1402842320,40.637555,-89.477067,0
55205,pidrive,0.0.0.0,192.168.1.23,1402842320,40.637555,-89.477067,2
55206,pidrive,0.0.0.0,192.168.1.23,1402842320,40.637555,-89.477067,3
55194,pidrive,192.168.1.65,,1402842321,40.637555,-89.477067,4
55207,pidrive,0.0.0.0,192.168.1.23,1402842321,40.637555,-89.477067,1
55208,pidrive,,,1402842321,40.637555,-89.477067,0
55209,pidrive,0.0.0.0,192.168.1.23,1402842321,40.637555,-89.477067,2
55210,pidrive,0.0.0.0,192.168.1.23,1402842321,40.637555,-89.477067,3
55195,pidrive,192.168.1.65,,1402842323,40.637555,-89.477067,4
55196,pidrive,192.168.1.65,,1402842323,40.637555,-89.477067,4
55211,pidrive,0.0.0.0,192.168.1.23,1402842323,40.637555,-89.477067,1
55212,pidrive,,,1402842323,40.637555,-89.477067,0
55213,pidrive,0.0.0.0,192.168.1.23,1402842323,40.637555,-89.477067,2
55214,pidrive,0.0.0.0,192.168.1.23,1402842323,40.637555,-89.477067,3
55215,pidrive,0.0.0.0,192.168.1.23,1402842323,40.637555,-89.477067,1
55216,pidrive,,,1402842323,40.637555,-89.477067,0
55217,pidrive,0.0.0.0,192.168.1.23,1402842323,40.637555,-89.477067,2
55218,pidrive,0.0.0.0,192.168.1.23,1402842323,40.637555,-89.477067,3
55197,pidrive,192.168.1.65,,1402842325,40.637555,-89.477067,4
55219,pidrive,0.0.0.0,192.168.1.23,1402842325,40.637555,-89.477067,1
55220,pidrive,,,1402842325,40.637555,-89.477067,0
55221,pidrive,0.0.0.0,192.168.1.23,1402842325,40.637555,-89.477067,2
55222,pidrive,0.0.0.0,192.168.1.23,1402842325,40.637555,-89.477067,3
55198,pidrive,192.168.1.65,,1402842326,40.637555,-89.477067,4
55199,pidrive,192.168.1.65,,1402842326,40.637555,-89.477067,4
55223,pidrive,0.0.0.0,192.168.1.23,1402842326,40.637555,-89.477067,1
55224,pidrive,,,1402842326,40.637555,-89.477067,0
55225,pidrive,0.0.0.0,192.168.1.23,1402842326,40.637555,-89.477067,2
55226,pidrive,0.0.0.0,192.168.1.23,1402842326,40.637555,-89.477067,3
55227,pidrive,,,1402842326,40.637555,-89.477067,0
55229,pidrive,0.0.0.0,192.168.1.23,1402842326,40.637555,-89.477067,1
55230,pidrive,0.0.0.0,192.168.1.23,1402842327,40.637555,-89.477067,2
55231,pidrive,0.0.0.0,192.168.1.23,1402842327,40.637555,-89.477067,3
55200,pidrive,192.168.1.65,,1402842328,40.637555,-89.477067,4
55232,pidrive,,,1402842328,40.637555,-89.477067,0
55233,pidrive,0.0.0.0,192.168.1.23,1402842328,40.637555,-89.477067,1
55234,pidrive,0.0.0.0,192.168.1.23,1402842328,40.637555,-89.477067,2
55235,pidrive,0.0.0.0,192.168.1.23,1402842328,40.637555,-89.477067,3
55201,pidrive,192.168.1.65,,1402842329,40.637555,-89.477067,4
55236,pidrive,,,1402842329,40.637555,-89.477067,0
55237,pidrive,0.0.0.0,192.168.1.23,1402842329,40.637555,-89.477067,1
55238,pidrive,0.0.0.0,192.168.1.23,1402842329,40.637555,-89.477067,2
55239,pidrive,0.0.0.0,192.168.1.23,1402842329,40.637555,-89.477067,3
55228,pidrive,192.168.1.65,,1402842330,40.637555,-89.477067,4
55249,pidrive,,,1402842330,40.637555,-89.477067,0
55250,pidrive,0.0.0.0,192.168.1.23,1402842330,40.637555,-89.477067,1
55251,pidrive,0.0.0.0,192.168.1.23,1402842330,40.637555,-89.477067,2
55252,pidrive,0.0.0.0,192.168.1.23,1402842330,40.637555,-89.477067,3
55240,pidrive,192.168.1.65,,1402842331,40.637555,-89.477067,4
55253,pidrive,,,1402842331,40.637555,-89.477067,0
55254,pidrive,0.0.0.0,192.168.1.23,1402842331,40.637555,-89.477067,1
55241,pidrive,192.168.1.65,,1402842332,40.637555,-89.477067,4
55255,pidrive,0.0.0.0,192.168.1.23,1402842332,40.637555,-89.477067,2
55256,pidrive,0.0.0.0,192.168.1.23,1402842332,40.637555,-89.477067,1
55257,pidrive,0.0.0.0,192.168.1.23,1402842332,40.637555,-89.477067,2
55258,pidrive,0.0.0.0,192.168.1.23,1402842332,40.637555,-89.477067,3
55259,pidrive,0.0.0.0,192.168.1.23,1402842332,40.637555,-89.477067,3
55260,pidrive,,,1402842332,40.637555,-89.477067,0
55242,pidrive,192.168.1.65,,1402842333,40.637555,-89.477067,4
55261,pidrive,0.0.0.0,192.168.1.23,1402842333,40.637555,-89.477067,1
55262,pidrive,0.0.0.0,192.168.1.23,1402842333,40.637555,-89.477067,2
